ルール,説明,ルル,エクス
ビーチでの音楽再生,ビーチでの音楽は楽しい雰囲気を作り出しますが、他のビーチ利用者に迷惑をかけないよう適切な音量での再生が求められます。,playing music on the beach,"Music on the beach creates a fun atmosphere, but it should be played at an appropriate volume so as not to disturb other beach users."
図書館内でのささやき声での会話,図書館では静かにすることが求められますが、ささやき声での短い会話は許容されることがあります。,Whispered conversations in the library,"Although quietness is expected in the library, short conversations in whispers may be tolerated."
レストランでの子供の監督,レストランでの子供の行動は親が注意を払う必要がありますが、子供特有の行動はある程度許容されることがあります。,Supervising children in restaurants,"Parents should be aware of their children's behavior in restaurants, but some typical child behavior may be tolerated to some extent."
ワークショップやセミナーでの質疑応答中の質問,積極的な参加は奨励されますが、時間管理を考慮して、他の参加者も質問できるよう配慮が必要です。,Questions during Q&A at workshops and seminars,"Active participation is encouraged, but please consider time management and allow other participants to ask questions."
マラソン大会でのコスチューム着用,イベントの雰囲気を盛り上げるためにコスチュームを着用することは許容されますが、安全性や他の参加者への配慮が重要です。,Wearing a costume at a marathon event,"Costumes are acceptable to add to the atmosphere of the event, but safety and consideration for other attendees is important."
オフィスでの昼食後の短い仮眠,疲労回復のための短い仮眠は生産性向上に繋がる場合がありますが、職場の文化やルールを尊重する必要があります。,A short nap after lunch at the office,"A short nap to recover from fatigue may improve productivity, but you need to respect the culture and rules of your workplace."
公共施設での靴の脱ぎ履き,特定の文化や場所では靴を脱ぐことが礼儀とされますが、公共施設内での適切な場所で行うべきです。,Taking off and putting on shoes in public facilities,"While removing shoes is considered polite in certain cultures and places, it should only be done in appropriate places in public facilities."
電話での長話,電話での長話は友人間では受け入れられることがありますが、業務時間中や公共の場では避けるべきです。,long conversation on the phone,"Long conversations on the phone may be acceptable among friends, but should be avoided during business hours or in public."
カフェでの作業,カフェでのノートパソコン作業は普及していますが、混雑時は長時間の占有を避け、他の客への配慮が必要です。,working at a cafe,"Although it is common to work on laptops in cafes, it is necessary to avoid occupying the space for long periods of time during busy times and to be considerate of other customers."
ペットを連れての散歩時のリードなし,ペットフレンドリーなエリアではリードなしでの散歩が許可されることがありますが、他人や他のペットへの配慮が求められます。,No leash when walking your pet,"Off-leash walking may be allowed in pet-friendly areas, but please be considerate of others and other pets."
公共の場での化粧直し,公共の場での軽い化粧直しは一般的ですが、周囲の人が不快に感じないよう控えめに行うべきです。,Touching up your makeup in public,"Light touch-ups in public places are common, but should be done sparingly so as not to make others feel uncomfortable."
飛行機内での座席のリクライニング,長時間のフライトでは座席をリクライニングすることが一般的ですが、後ろの席の人への配慮が必要です。,reclining seats on airplanes,"It is common to recline the seat on long flights, but consideration must be given to the people in the seats behind you."
公共交通機関での大きな荷物,公共交通機関での大きな荷物の持ち込みは避けられない場合もありますが、他の乗客の迷惑にならないよう注意が必要です。,Large luggage on public transport,"Although it may be unavoidable to carry large luggage on public transport, you should be careful not to disturb other passengers."
レストランでの特別な食事要求,食物アレルギーや好みに応じた特別な要求は一般的ですが、レストランの提供範囲内でのリクエストに留めるべきです。,Special dietary requirements at restaurants,"Special requests based on food allergies or preferences are common, but should be kept within the restaurant's capabilities."
ジムでの機器使用時の音楽再生,ジムでの音楽再生はモチベーション向上に役立ちますが、他の利用者への配慮としてイヤホンの使用が望まれます。,Music playback when using equipment at the gym,"Playing music at the gym can help boost motivation, but we recommend using earphones as a consideration for other users."
授業中の質問,授業中の質問は積極的な学びに繋がりますが、授業の流れを乱さないよう、適切なタイミングで行う必要があります。,Questions during class,"Questioning during class can lead to active learning, but it is important to ask questions at the right time so as not to disrupt the flow of the class."
図書館での席の長時間占有,図書館での席を長時間占有することは試験期間などに見られますが、他の利用者も使用できるよう適度に休憩を取るべきです。,Occupying a seat in the library for a long time,"Occupying a seat in the library for long periods of time is common, such as during exam periods, but you should take regular breaks to allow other users to use your seat."
遅刻をしてしまった場合の謝罪,遅刻した際の謝罪は必要ですが、頻繁に発生するとその価値が薄れ、半分適切と見なされることがあります。,Apology for being late,"Apologies for being late are necessary, but if they happen too often, they may lose their value and be seen as only half-appropriate."
公共の場でのガムの咀嚼,ガムを咀嚼することは口臭予防に有効ですが、音を立てずに静かに咀嚼する必要があります。,chewing gum in public,"Chewing gum is effective in preventing bad breath, but it must be done quietly and without making any noise."
仕事中の個人的なSNSのチェック,短い休憩中にSNSをチェックすることはリフレッシュになりますが、仕事に影響を与えない程度に抑えるべきです。,Checking personal SNS while at work,"Checking social media during short breaks can be refreshing, but it should be kept to a level that doesn't affect your work."
映画館でのポップコーンの食べ方,映画館でポップコーンを食べることは一般的ですが、音が他の観客を邪魔しないよう注意が必要です。,How to eat popcorn at the movie theater,"Eating popcorn at the movie theater is common, but care must be taken to ensure that the sound does not disturb other audience members."
レストランでの待ち時間の過ごし方,レストランでの待ち時間にスマートフォンを使用することは一般的ですが、大きな音量での通話は避けるべきです。,How to spend your time waiting at a restaurant,"Although it is common to use a smartphone while waiting at a restaurant, you should avoid making loud calls."
公共交通機関での座席使用,満員の公共交通機関で隣の席に荷物を置くことは、短時間ならば許容されることがありますが、空席が必要な場合は速やかに荷物を移動させるべきです。,Seat use on public transport,"Leaving your luggage on the seat next to you on crowded public transport may be acceptable for a short period of time, but if you need a vacant seat, you should move your luggage quickly."
エレベーター内での会話,エレベーター内での軽い会話は社交的な行為と見なされますが、大声での会話は避けるべきです。,Conversation in the elevator,"Light conversation in the elevator is considered social behavior, but loud conversations should be avoided."
仕事のメールにおける絵文字の使用,カジュアルなコミュニケーションでの絵文字の使用は受け入れられますが、公式な文書では避けるべきです。,Using emojis in work emails,"The use of emojis in casual communication is acceptable, but should be avoided in formal documents."
ジムでの写真撮影,フィットネスの進捗を記録するための写真撮影はモチベーションアップにつながりますが、他人のプライバシーに配慮する必要があります。,photo shoot at the gym,"Taking photos to record your fitness progress can be motivating, but you must respect the privacy of others."
講義中のノートパソコンの使用,講義中にノートパソコンを使用することは学習に役立ちますが、周囲の学生への配慮と講義への集中が必要です。,Using laptops during lectures,"Using a laptop during lectures is helpful for learning, but you need to be considerate of the students around you and concentrate on the lecture."
ホテルのロビーでの大声での会話,ホテルのロビーでの会話は許容されますが、他の宿泊客の迷惑にならないように音量に配慮する必要があります。,Loud conversation in hotel lobby,"Conversation in the hotel lobby is acceptable, but the volume must be kept to avoid disturbing other guests."
食事中の携帯電話使用,友人や家族との食事中に緊急でない限り携帯電話の使用は控えるべきですが、一人で食事をしている時は比較的許容されます。,Mobile phone use while eating,"Cell phone use should be avoided unless it's an emergency while eating with friends or family, but it's relatively acceptable when eating alone."
授業中のおしゃべり,授業中に隣の人とささやき声で話すことは時に許容されますが、授業の進行に影響を与えないように注意が必要です。,Chatting during class,"Whispering to the person next to you during class is sometimes acceptable, but care must be taken to avoid disrupting the progress of the class."
公共の場所での足音,静かな公共の場所では足音を小さくすることが求められますが、屋外や賑やかな場所ではそれほど気にされません。,footsteps in public places,"In quiet public places, you want to keep your footsteps low, but outdoors or in busy places, it's less of a concern."
旅行中の地元の習慣への完全な遵守,旅行中に地元の習慣に完全に遵守しようとすることは評価されますが、知識不足による過ちを許容されることもあります。,Full compliance with local customs while traveling,"While your attempt to fully adhere to local customs while traveling will be appreciated, mistakes due to lack of knowledge may be tolerated."
バスや電車での席の占有,バスや電車で隣の空席に荷物を置くことは便利ですが、他の乗客が多い場合はすぐに荷物を移動させるべきです。,Occupying a seat on a bus or train,"It is convenient to put your luggage in the empty seat next to you on the bus or train, but if there are many other passengers, you should move your luggage immediately."
公共施設での靴のまま入室,特定の公共施設では靴を脱ぐことが求められる場合がありますが、入り口での明示がない場合は靴を履いたまま入室しても許容されることがあります。,Entering public facilities with shoes on,"You may be required to remove your shoes in certain public facilities, but it may be acceptable to enter with your shoes on unless clearly stated at the entrance."
会議中の筆記具の使用,会議中に筆記具でメモを取ることは一般的ですが、クリック音がうるさいペンは避けるべきです。,Use of writing instruments during meetings,"While it's common to take notes with a writing instrument during meetings, avoid noisy pens."
美術館や博物館での写真撮影,特定の展示に許可されている場合のみ写真撮影が可能ですが、フラッシュの使用は他の訪問者の迷惑になるため避けるべきです。,Photography at art galleries and museums,"Photography is permitted only if permitted for a particular exhibit, but the use of flash should be avoided as it may disturb other visitors."
図書館での飲食,図書館内での軽食や飲み物の持ち込みは一部許容されますが、匂いや音が出るものは避けるべきです。,Eating and drinking at the library,"Some snacks and drinks may be allowed in the library, but items that emit smells or noise should be avoided."
コンサートやイベントでの録画,公演を楽しむための録画は許容される場合がありますが、演者や周囲の観客の迷惑にならないように配慮が必要です。,Recording at concerts and events,"Recording a performance for the purpose of enjoying it may be permitted, but care must be taken to ensure that it does not disturb the performers or the surrounding audience."
公共施設での待ち行列でのスマホ利用,待ち行列でのスマートフォンの利用は時間を潰す手段として一般的ですが、前進する際の注意が求められます。,Using smartphones while queuing at public facilities,"Using smartphones while queuing is a common way to kill time, but requires caution when moving forward."
飲食店でのテーブルマナーの緩和,カジュアルな飲食店ではテーブルマナーがある程度緩和されることがありますが、基本的な礼儀は守るべきです。,Relaxation of table manners at restaurants,"Table manners may be relaxed to some extent in casual restaurants, but basic courtesy should still be observed."
公園でのスポーツ活動,公園でのスポーツ活動は健康的なレジャーですが、他の利用者の邪魔にならないようにスペースを選ぶ必要があります。,sports activities in the park,"Sports activities in the park are a healthy leisure activity, but spaces should be chosen so as not to disturb other users."
自宅での高音量での音楽,自宅で音楽を楽しむことは自由ですが、隣人への配慮から遅い時間帯や早朝の高音量は控えるべきです。,High volume music at home,"You are free to enjoy music at home, but out of consideration for your neighbors, you should refrain from playing high volumes late at night or early in the morning."
公共交通機関でのペット同伴,許可されている場合のペット同伴は可能ですが、他の乗客に迷惑をかけないようにケージやリードの使用が必要です。,Pets allowed on public transport,"Pets are welcome where permitted, but must be caged and leashed to avoid disturbing other passengers."
オフィスでのカジュアルウェア,フライデーカジュアルなど、特定の日に限りオフィスでのカジュアルウェアが許容されますが、過度にラフな服装は避けるべきです。,casual wear for office,"Casual wear in the office is acceptable on certain days, such as Friday Casual, but overly loose clothing should be avoided."
ホームパーティーでの持ち寄り,ホームパーティーでの料理や飲み物の持ち寄りは歓迎されますが、ホストの好みやアレルギーを考慮する必要があります。,potluck at home party,"You are welcome to bring food and drinks to your home party, but please consider the host's preferences and allergies."
図書館内でのノートパソコン使用,図書館でのノートパソコン使用は研究や学習に役立ちますが、キーボードの音が他の利用者の迷惑にならないよう注意が必要です。,Using laptops in the library,"Using a laptop in the library is useful for research and study, but care must be taken to ensure that the keyboard noise does not disturb other users."
屋外イベントでの帽子の着用,日焼け防止やスタイルのための帽子の着用は屋外イベントで一般的ですが、視線を遮る大きな帽子は避けるべきです。,Wearing a hat at outdoor events,"Wearing hats for sun protection and style is common at outdoor events, but large hats that block the view should be avoided."
学校での友人へのジョーク,ジョークは楽しい場面では歓迎されますが、授業中や重要な場面でのジョークは場違いです。,jokes to friends at school,"Jokes are welcome in fun situations, but they are out of place in class or during important moments."
旅行先での地元の言葉の学習,地元の言葉を学ぶことは文化理解の一環として重要ですが、不適切なコンテキストで使用すると誤解を招くことがあります。,Learning the local language while traveling,"Learning the local language is an important part of cultural understanding, but it can be misleading if used in the wrong context."
生活空間でのペットの飼育,ペットは愛らしい存在ですが、適切な訓練や配慮が必要です。隣人や周囲の環境に影響を与えないように心がけましょう。,Keeping pets in the living space,"Pets are adorable, but they require proper training and care. Try not to affect your neighbors or the surrounding environment."
他人のプロフィールの閲覧,ソーシャルメディアなどで他人のプロフィールを閲覧することは一般的ですが、プライバシーを侵害しないように注意しましょう。,Viewing other people's profiles,"Viewing other people's profiles on social media is common, but be careful not to violate their privacy."
飛行機内での座席のリクライニング,座席のリクライニングは快適さのために行われることがありますが、後ろの座席の利用者に影響を与える可能性があるため注意が必要です。,reclining seats on airplanes,"Seat reclining is sometimes done for comfort, but care must be taken as it may affect the occupants of the seat behind you."
公共の場での大声での笑い声,大声での笑い声は場の雰囲気を明るくすることがありますが、周囲の人々の集中を妨げる可能性があるため、状況に応じて控えるべきです。,Loud laughter in public places,"Loud laughter can brighten up the atmosphere, but it can disrupt the concentration of those around you, so you should refrain from it depending on the situation."
ショッピングモールでの歩き方,ショッピングモールでは自由に歩き回ることが一般的ですが、周囲の人々との接触に注意し、迷惑をかけないように心がけましょう。,How to walk in a shopping mall,"Although it is common to walk around freely in shopping malls, be careful about your contact with the people around you and try not to cause any trouble."
公共のトイレでの会話,トイレ内では他人との会話は避けるべきです。プライバシーを尊重し、静かに用を足しましょう。,Conversations in public restrooms,You should avoid talking to other people in the restroom. Respect your privacy and relieve yourself quietly.
交差点でのスマートフォン操作,交差点でのスマートフォン操作は危険を伴うことがあります。安全を考慮し、歩行者としてのマナーを守りましょう。,Smartphone operation at an intersection,Using a smartphone at an intersection can be dangerous. Please be considerate of your safety and follow proper pedestrian manners.
学校での自習の場での会話,自習の場での会話はリラックスできる環境を提供しますが、周囲の人々の学習を妨げないように静かに話すべきです。,Conversation during self-study at school,"Conversation during study sessions provides a relaxing environment, but you should speak quietly to avoid disrupting the learning of those around you."
旅行先での地元料理の挑戦,地元料理を試すことは文化を理解する良い機会ですが、自分の体調や好みに合わないものは無理に食べる必要はありません。,Try local cuisine while traveling,"Trying local cuisine is a great way to understand the culture, but there's no need to force yourself to eat food that doesn't suit your physical condition or tastes."
生活環境でのゴミの分別,ゴミの分別は地球環境への配慮の一環ですが、間違った分別はリサイクルを阻害する恐れがあるため正しい方法を学ぶ必要があります。,Garbage separation in the living environment,"Separating garbage is part of our efforts to protect the global environment, but it is important to learn how to do it correctly, as incorrect sorting can impede recycling."
マナーの知識の共有,マナーの知識を共有することは他人への配慮に繋がりますが、時と場合に応じて適切な方法で行う必要があります。,Sharing knowledge of etiquette,"Sharing knowledge of etiquette leads to consideration for others, but it must be done in an appropriate manner depending on the time and situation."
旅行先でのスマートフォンの使用,旅行先でのスマートフォンの使用は地図や情報検索などで便利ですが、周囲の景色や文化にも注意を払いましょう。,Using a smartphone while traveling,"Using a smartphone while traveling is convenient for searching for maps and information, but be sure to pay attention to the surrounding scenery and culture."
日常生活での家族とのコミュニケーション,家族とのコミュニケーションは大切ですが、適切な場所とタイミングを選んで行う必要があります。,Communication with family in daily life,"Communication with family is important, but you need to choose the right place and time to do it."
公共の場でのマナーの徹底,公共の場でのマナーの徹底は社会の秩序を保つために重要ですが、時には緊張感を緩和するために柔軟に対応することも必要です。,Thorough manners in public places,"Strict etiquette in public places is important for maintaining social order, but sometimes it is necessary to be flexible in order to alleviate tension."
レストランでの注文の追加,レストランでの追加注文はサービス業者にとっては追加の売上源となりますが、他の客や厨房の負担にならないように適切に行うべきです。,Adding a restaurant order,"Extra orders in restaurants can be an additional source of revenue for servers, but they should be done appropriately so as not to burden other customers or the kitchen."
学校での友人との冗談,冗談は友情を深める一方で、授業中などの場面では控えめにする必要があります。,jokes with friends at school,"While joking can strengthen friendships, it should be kept to a minimum during classes and other situations."
旅行先での地元の言葉の学習,旅行先で地元の言葉を学ぶことは好意的に受け入れられますが、誤解を避けるために状況を考慮する必要があります。,Learning the local language while traveling,"Learning the local language while traveling is well received, but the situation must be considered to avoid misunderstandings."
日常生活での自己主張,自己主張は重要ですが、相手の意見や感情を無視しないようにする必要があります。,Self-assertion in daily life,"Assertiveness is important, but you also need to make sure you don't ignore the other person's opinions and feelings."
公共の場での音楽の聴取,公共の場での音楽の聴取はリラックスする手段として一般的ですが、ヘッドフォンの音量に注意する必要があります。,Listening to music in public places,"Listening to music in public is a popular way to relax, but you should be careful about the volume of your headphones."
旅行中のトイレの使用,トイレは必要な場所ですが、清潔さや他の人の利用を妨げないように注意する必要があります。,Using the toilet while traveling,"Restrooms are necessary, but care must be taken to ensure cleanliness and not to interfere with the use of others."
生活環境での家族とのコミュニケーション,家族とのコミュニケーションは大切ですが、時には個々のプライバシーを尊重する必要があります。,Communication with family in living environment,"Communication with family members is important, but sometimes it is necessary to respect individual privacy."
レストランでの料理の特別注文,レストランでの特別注文は客の好みに合わせたサービスとして提供されますが、他の客や厨房の負担を考慮する必要があります。,Special ordering of food at a restaurant,"Special orders in restaurants are provided as a service tailored to the customer's preferences, but the burden on other customers and the kitchen must be considered."
学校での授業外の活動,学校での授業外の活動は学業の補完として重要ですが、他の生徒の学習や休息を妨げないようにする必要があります。,Out-of-class activities at school,"Out-of-class activities at school are important as a complement to schoolwork, but must be made so that they do not interfere with other students' learning or rest."
学校での授業中の携帯電話利用,授業中の携帯電話利用は集中力の散漫につながります。緊急の場合を除いて避けるべきです。,Mobile phone use during class at school,Using cell phones during class can lead to distraction. Should be avoided except in emergencies.
旅行先での地元の習慣の無視,旅行先での地元の習慣や慣習を無視することは、場違いで失礼な行為と見なされる場合があります。,Ignoring local customs when traveling,Ignoring local customs and customs in a destination can be seen as out of place and rude.
生活環境での隣人との衝突,隣人との衝突はコミュニティ内の緊張を引き起こす可能性があります。紛争を避けるためには、配慮とコミュニケーションが重要です。,Conflicts with neighbors in the living environment,Conflicts with neighbors can cause tension within the community. Consideration and communication are important to avoid conflict.
公共の場での不適切な言動,公共の場では他人を不快にさせるような不適切な言動は避けるべきです。他者の感情や権利を尊重しましょう。,Inappropriate behavior in public places,"In public places, inappropriate behavior that may make others uncomfortable should be avoided. Respect the feelings and rights of others."
旅行中の地元の文化への非難,旅行先の文化や習慣に対して批判的な態度を示すことは、現地の人々に失礼にあたります。,Condemnation of local culture while traveling,It is disrespectful to the local people to be critical of the culture and customs of your destination.
日常生活での公共物の破損,公共物の破損は社会的責任を果たさず、他の人々に迷惑をかける行為です。公共の物を大切にしましょう。,Damage to public property in daily life,Damaging public property is an act that does not fulfill social responsibility and causes trouble to other people. Let's respect public property.
学校での教師への無礼な態度,教師への無礼な態度は学校の秩序を乱し、教育環境を損なうことがあります。教師には尊敬と礼儀を示しましょう。,Rude attitude toward teachers at school,Disrespectful behavior towards teachers can disrupt school order and damage the educational environment. Show respect and courtesy to your teachers.
旅行先での観光地の破壊行為,観光地の破壊行為は文化財や自然環境を守るために避けるべきです。持続可能な観光を心がけましょう。,Vandalism of tourist spots while traveling,Vandalism of tourist sites should be avoided in order to protect cultural properties and the natural environment. Let's practice sustainable tourism.
学校での授業中の質問の乱用,授業中に適切な質問をすることは重要ですが、質問の乱用は授業の進行を妨げる可能性があります。,Abuse of questioning during lessons at school,"Asking appropriate questions during class is important, but overusing questions can disrupt class progress."
旅行先での現地人への無理な交流,旅行先で現地人に無理な交流を求めることは、その人々のプライバシーや時間を侵害する可能性があります。,Unreasonable interaction with locals at travel destinations,Asking for unreasonable interactions with local people while traveling can infringe on their privacy and time.
日常生活での他人のプライバシーの侵害,他人のプライバシーを侵害する行為は倫理的に問題があり、信頼関係を損なうことがあります。,Violation of other people's privacy in daily life,Invading someone else's privacy is ethically questionable and can damage relationships of trust.
公共の場での迷惑行為,公共の場では他人に迷惑をかける行為は避けるべきです。周囲の人々との共生を意識しましょう。,Nuisance in public places,You should avoid causing trouble to others in public places. Be conscious of coexistence with the people around you.
旅行中の現地の人々への攻撃的な態度,旅行中に現地の人々に攻撃的な態度を取ることは、緊張関係や危険を引き起こす可能性があります。,Aggressive attitude towards local people while traveling,Being aggressive towards locals while traveling can cause tension and danger.
学校での不正行為,学校での不正行為は倫理的に問題があり、信頼関係を損ないます。公正な環境を保つために避けましょう。,cheating at school,Cheating in schools is ethically questionable and undermines trust. Avoid to maintain a fair environment.
旅行中の環境破壊行為,旅行中に環境を破壊する行為は、地球環境や地域社会に悪影響を与える可能性があります。,Environmental destruction while traveling,Acts that destroy the environment while traveling can have a negative impact on the global environment and local communities.
日常生活でのネットいじめ,インターネット上でのいじめは被害者の精神的な健康を損なう可能性があります。ネット上でも他者との尊重を忘れずに,Cyberbullying in daily life,Online bullying can damage a victim's mental health. Remember to be respectful of others even online
学校での教師に対する無礼な態度,教師に対する無礼な態度は教育環境を悪化させ、他の生徒にも悪影響を及ぼす可能性があります。,Rude attitude toward teachers at school,Disrespectful behavior towards teachers can lead to a poor educational environment and have a negative impact on other students.
旅行先での地元の言葉の不適切な使用,地元の言葉を不適切に使用することは、現地の人々に失礼であり、文化的な誤解を招く可能性があります。,Inappropriate use of local language at destinations,Inappropriate use of local language is disrespectful to local people and can lead to cultural misunderstandings.
日常生活での他人のプライバシーの侵害,他人のプライバシーを侵害する行為は倫理的に問題があり、信頼関係を損なう可能性があります。,Violation of other people's privacy in daily life,Invading someone else's privacy is ethically questionable and can damage relationships of trust.
公共の場での迷惑行為,公共の場では他人に迷惑をかける行為は避けるべきです。周囲の人々との共生を意識しましょう。,Nuisance in public places,You should avoid causing trouble to others in public places. Be conscious of coexistence with the people around you.
旅行中の現地の文化への攻撃的な態度,旅行中に現地の文化に対して攻撃的な態度を取ることは、緊張関係を引き起こし、安全を脅かす可能性があります。,Aggressive attitude towards local culture while traveling,Being aggressive towards local culture while traveling can cause tensions and threaten safety.
学校での不正行為,学校での不正行為は倫理的に問題があり、信頼関係を損ないます。公正な環境を保つために避けましょう。,cheating at school,Cheating in schools is ethically questionable and undermines trust. Avoid to maintain a fair environment.
旅行中の環境破壊行為,旅行中に環境を破壊する行為は、地球環境や地域社会に悪影響を与える可能性があります。,Environmental destruction while traveling,Acts that destroy the environment while traveling can have a negative impact on the global environment and local communities.
日常生活でのネットいじめ,インターネット上でのいじめは被害者の精神的な健康を損なう可能性があります。ネット上でも他者との尊重を忘れずに。,Cyberbullying in daily life,Online bullying can damage a victim's mental health. Don't forget to be respectful of others online.
学校での他の生徒へのいじめ,他の生徒へのいじめは精神的な苦痛を与え、学校の雰囲気を悪化させます。,Bullying other students at school,Bullying other students causes psychological distress and worsens the school atmosphere.
旅行先での現地の文化への冷淡な態度,旅行先での現地の文化や慣習に対する冷淡な態度は、現地の人々に失礼であり、友好関係を損なう可能性があります。,Indifferent attitude towards local culture in destinations,A callous attitude toward local culture and customs in a destination is disrespectful to the locals and can damage friendships.
日常生活での法律の無視,法律の無視は社会の秩序を乱し、自らや他人に害を及ぼす可能性があります。,Ignoring the law in everyday life,Ignoring the law can disrupt social order and cause harm to yourself or others.
公共の場での迷惑行為,公共の場での迷惑行為は他の人々の利便性を損ない、不快な思いをさせる可能性があります。,Nuisance in public places,Disturbing behavior in public places impairs the convenience of other people and may make them feel uncomfortable.
旅行中の観光地でのルール違反,観光地でのルール違反は、観光地や地元の人々に迷惑をかけ、地域のイメージを損なう可能性があります。,Violating rules at tourist destinations while traveling,"Violating rules at tourist destinations can cause inconvenience to the tourist destination and local people, and can damage the image of the area."
学校での教師への尊敬の欠如,教師への尊敬の欠如は学校の雰囲気を悪化させ、教育環境に混乱を招く可能性があります。,Lack of respect for teachers at school,Lack of respect for teachers can lead to poor school atmosphere and disruption to the educational environment.
旅行中の地元の食事の無視,旅行先で地元の食事を無視し、自国の食事ばかりを求めることは、地元の文化や食文化への無関心を示すことになります。,Ignoring local food while traveling,Ignoring local food while traveling and insisting on only eating from your own country shows a lack of interest in local culture and food culture.
日常生活での公共物の損壊,公共物の損壊は社会的な責任を果たさず、公共の利益を損なう可能性があります。,Damage to public property in daily life,Damaging public property does not fulfill social responsibility and may harm the public interest.
学校での教師への無礼な態度,教師に対する無礼な態度は教育環境を悪化させ、他の生徒にも悪影響を及ぼす可能性があります。,Rude attitude toward teachers at school,Disrespectful behavior towards teachers can lead to a poor educational environment and have a negative impact on other students.
旅行先での地元の文化への無理解,旅行先で地元の文化や慣習を理解せず、無理解な態度を取ることは現地の人々に失礼です。,Lack of understanding of local culture when traveling,It is disrespectful to the local people when traveling to a destination and not understanding the local culture and customs.
日常生活での法律違反,法律違反は社会の秩序を乱し、自己や他者に危害を及ぼす可能性があります。,Violating the law in daily life,Violating the law can disrupt social order and cause harm to oneself or others.
公共の場での迷惑行為,公共の場での迷惑行為は他の人々の利便性を損ない、不快な思いをさせる可能性があります。,Nuisance in public places,Disturbing behavior in public places impairs the convenience of other people and may make them feel uncomfortable.
旅行中の観光地でのルール違反,観光地でのルール違反は、観光地や地元の人々に迷惑をかけ、地域のイメージを損なう可能性があります。,Violating rules at tourist destinations while traveling,"Violating rules at tourist destinations can cause inconvenience to the tourist destination and local people, and can damage the image of the area."
学校での教師への尊敬の欠如,教師への尊敬の欠如は学校の雰囲気を悪化させ、教育環境に混乱を招く可能性があります。,Lack of respect for teachers at school,Lack of respect for teachers can lead to poor school atmosphere and disruption to the educational environment.
旅行中の地元の食事の無視,旅行先で地元の食事を無視し、自国の食事ばかりを求めることは、地元の文化や食文化への無関心を示すことになります。,Ignoring local food while traveling,Ignoring local food while traveling and insisting on only eating from your own country shows a lack of interest in local culture and food culture.
日常生活での公共物の損壊,公共物の損壊は社会的な責任を果たさず、公共の利益を損なう可能性があります。,Damage to public property in daily life,Damaging public property does not fulfill social responsibility and may harm the public interest.
授業や会議中の私語,授業や会議中の私語は他人の集中を妨げ、不適切な場合が多いですが、時には小さな疑問をすぐに解決するために必要な場合もあります。,Private language during classes and meetings,"Private language during classes and meetings can distract others and is often inappropriate, but sometimes it is necessary to quickly resolve small questions."
オフィスでの私的な通話,オフィスでの私的な通話は業務を妨げる可能性がありますが、緊急の個人的事情では避けられないこともあります。,private calls in the office,"Personal phone calls in the office can be disruptive, but may be unavoidable due to urgent personal circumstances."
食事中のスマートフォン使用,社交的な場では不適切とされますが、一人で食事しているときやビジネス関連での使用は一定の理解を得られることも。,Using smartphone while eating,"Although it is considered inappropriate in social situations, it is sometimes acceptable to use it when eating alone or in business-related situations."
音楽イベントでの大声での歌唱,コンサートなどでは共感を示す行為として受け入れられることもありますが、他の観客の鑑賞を妨げることもあります。,Loud singing at music events,"Although it is sometimes accepted as a gesture of empathy at concerts, it can also interfere with other audience members' enjoyment."
ライブラリーでの食事,一部の図書館では軽食が許可されていますが、匂いや音が他の利用者に迷惑をかける可能性があります。,Eating in the library,"Snacks are allowed in some libraries, but the smells and sounds can be a nuisance to other patrons."
公共交通機関での足を席に乗せる,長時間の移動でリラックスしたい気持ちは理解できますが、他の乗客にとっては不快または不衛生に映ることがあります。,Put your feet on the seat on public transportation,"While it's understandable to want to relax after a long journey, it may seem uncomfortable or unsanitary to other passengers."
SNSでの過度な自己開示,ソーシャルメディアでの自己開示はコミュニケーションの手段ですが、プライバシーの侵害や誤解を招くリスクも伴います。,Excessive self-disclosure on SNS,"Self-disclosure on social media is a means of communication, but it also comes with the risk of violating privacy and causing misunderstandings."
公の場での大声での議論,情熱的な議論は関係を深めることもありますが、周囲の人々にとっては不快感を与える可能性があります。,Loud discussion in public,"Passionate arguments can strengthen relationships, but they can also be offensive to those around you."
親しい友人間での過度な冗談,親密な関係では受け入れられることもありますが、公の場では他人を不快にさせる可能性があります。,Excessive banter between close friends,"While it may be acceptable in intimate relationships, it can make others uncomfortable in public."
公共の場でのペットとの過剰なスキンシップ,ペットへの愛情表現は見ている人にとって心温まるものですが、衛生面や他人への配慮も重要です。,Excessive physical contact with pets in public places,"Showing love for your pet is heartwarming for those watching, but hygiene and consideration for others are also important."
レストランでの特定の料理への公然とした批判,個人の好みは尊重されるべきですが、他の客やスタッフに不快感を与えることがあります。,Open criticism of a particular dish at a restaurant,"Personal preferences should be respected, but may cause discomfort to other guests or staff."
待ち合わせ時の遅刻,時には避けられない事情もありますが、繰り返し遅刻は他人の時間を軽視していると受け取られがちです。,Being late for a meeting,"Although sometimes unavoidable, repeatedly being late can be seen as disrespecting other people's time."
過度な自撮りや写真撮影,SNS用の写真を撮ることは現代の趣味の一つですが、他人のプライバシーを侵害したり、公共の場の秩序を乱すことがあります。,Excessive selfies and photo taking,"Taking photos for social media is a modern hobby, but it can invade other people's privacy and disrupt public order."
