ルール,説明
日常生活での公共物の損壊,公共物の損壊は社会的な責任を果たさず、公共の利益を損なう可能性があります。
学校での教師への無礼な態度,教師に対する無礼な態度は教育環境を悪化させ、他の生徒にも悪影響を及ぼす可能性があります。
旅行先での地元の文化への無理解,旅行先で地元の文化や慣習を理解せず、無理解な態度を取ることは現地の人々に失礼です。
日常生活での法律違反,法律違反は社会の秩序を乱し、自己や他者に危害を及ぼす可能性があります。
公共の場での迷惑行為,公共の場での迷惑行為は他の人々の利便性を損ない、不快な思いをさせる可能性があります。
旅行中の観光地でのルール違反,観光地でのルール違反は、観光地や地元の人々に迷惑をかけ、地域のイメージを損なう可能性があります。
学校での教師への尊敬の欠如,教師への尊敬の欠如は学校の雰囲気を悪化させ、教育環境に混乱を招く可能性があります。
旅行中の地元の食事の無視,旅行先で地元の食事を無視し、自国の食事ばかりを求めることは、地元の文化や食文化への無関心を示すことになります。
日常生活での公共物の損壊,公共物の損壊は社会的な責任を果たさず、公共の利益を損なう可能性があります。
授業や会議中の私語,授業や会議中の私語は他人の集中を妨げ、不適切な場合が多いですが、時には小さな疑問をすぐに解決するために必要な場合もあります。
オフィスでの私的な通話,オフィスでの私的な通話は業務を妨げる可能性がありますが、緊急の個人的事情では避けられないこともあります。
食事中のスマートフォン使用,社交的な場では不適切とされますが、一人で食事しているときやビジネス関連での使用は一定の理解を得られることも。
音楽イベントでの大声での歌唱,コンサートなどでは共感を示す行為として受け入れられることもありますが、他の観客の鑑賞を妨げることもあります。
ライブラリーでの食事,一部の図書館では軽食が許可されていますが、匂いや音が他の利用者に迷惑をかける可能性があります。
公共交通機関での足を席に乗せる,長時間の移動でリラックスしたい気持ちは理解できますが、他の乗客にとっては不快または不衛生に映ることがあります。
SNSでの過度な自己開示,ソーシャルメディアでの自己開示はコミュニケーションの手段ですが、プライバシーの侵害や誤解を招くリスクも伴います。
公の場での大声での議論,情熱的な議論は関係を深めることもありますが、周囲の人々にとっては不快感を与える可能性があります。
親しい友人間での過度な冗談,親密な関係では受け入れられることもありますが、公の場では他人を不快にさせる可能性があります。
公共の場でのペットとの過剰なスキンシップ,ペットへの愛情表現は見ている人にとって心温まるものですが、衛生面や他人への配慮も重要です。
レストランでの特定の料理への公然とした批判,個人の好みは尊重されるべきですが、他の客やスタッフに不快感を与えることがあります。
待ち合わせ時の遅刻,時には避けられない事情もありますが、繰り返し遅刻は他人の時間を軽視していると受け取られがちです。
過度な自撮りや写真撮影,SNS用の写真を撮ることは現代の趣味の一つですが、他人のプライバシーを侵害したり、公共の場の秩序を乱すことがあります。
オフィスでの個人的なアイテムの展示,個人的な趣味や興味を表現することは楽しいですが、職場での適切さや他人への影響を考慮する必要があります。
食事中の携帯電話のチェック,社交的な場では不適切とされがちですが、一人で食事をしている場合や業務連絡であれば許容されることがあります。
音量の大きな音楽の公共の場での再生,音楽を楽しむことはポジティブですが、他人の迷惑にならないようイヤホンを使用するなどの配慮が必要です。
電車内での大声での通話,必要な連絡であれば理解される場合もありますが、公共の場では他の乗客の迷惑になり得ます。
オンラインミーティング中の非関連活動,画面オフの状況では許容されることもありますが、集中力の低下や礼儀を欠く行為と見なされがちです。
仕事中の長時間の私用,休憩時間中ならば問題ないこともありますが、業務に影響を与える場合は不適切です。
観光地での自己中心的な行動,記念撮影などで一時的に許容されることもありますが、他の観光客への配慮が必要です。
授業や会議での遅刻,事前に連絡を入れることで理解を得られる場合もありますが、繰り返すと信頼を損ねます。
適切な服装の不遵守,状況に応じてカジュアルな服装が許容されることもありますが、公式の場では不適切と見なされることがあります。
複数人での道路の塞ぎ方,話に夢中になり周囲が見えなくなることはありますが、他の歩行者への迷惑となり得ます。
公共施設での飲食の禁止ルールの無視,軽食が許容されることもありますが、清掃や衛生面での配慮から避けるべきです。
ジムでの過剰な騒音,励ましや息を合わせるために時には声を出すこともありますが、他の利用者の集中を妨げることがあります。
公園でのゴミの放置,ピクニックなどで少量のゴミを一時的に置くことはあるかもしれませんが、公共の場を清潔に保つ責任があります。
オフィスでの個人的な装飾の過剰,個人のデスクを飾ることで作業環境を楽しくすることがありますが、過剰な装飾は職場の雰囲気に影響を及ぼすことがあります。
レストランでの過剰な声の大きさ,楽しい会話は食事の醍醐味の一つですが、他の顧客への配慮も必要です。
討論や議論での感情的な反応,情熱的な討論は理解を深めることがありますが、過剰な感情表現は対話を困難にします。
公共交通機関での荷物の座席占有,混雑していない時は許容されることもありますが、乗客が多い時には他人の座るスペースを奪うことになります。
周囲の人への無言の圧力,直接的なコミュニケーションを避けることで意図せず圧力をかけることがありますが、これは誤解や不快感を生む原因になります。
教室や会議室での飲食,場所によっては軽食が許可されていることもありますが、音や匂いで他人の注意を散らす可能性があります。
待ち行列での割り込み,状況によっては急いでいることを理解される場合もありますが、基本的には他人の時間を尊重すべきです。
パーティーでの過剰な飲酒,社交的な場では楽しむために飲酒が伴うこともありますが、自制を失うと他人に迷惑をかける可能性があります。
教室での授業妨害,授業中の小さな冗談やコメントが場を和ますこともありますが、学習の妨げになる行為は避けるべきです。
公共施設での大声での会話,環境によってはカジュアルな会話が許容されることもありますが、他人の静寂を尊重する必要があります。
美術館や博物館でのタッチ禁止展示の触れる,展示に触れることでダメージを与える可能性がありますが、特別な体験展示では触れることが許可される場合もあります。
オフィスでの個人的な電話の長話,緊急時には仕方がない場合もありますが、一般的には業務時間中の私用は控えるべきです。
スポーツ観戦での相手チームへの過度なヤジ,競技の一環として軽いヤジは許容されることもありますが、過度なものはスポーツマンシップに反します。
オフィスや学校での香水やフレグランスの過剰な使用,個人の好みとしては許容される場合もありますが、香りに敏感な人への配慮が必要です。
オンライン掲示板での匿名の批判,匿名での批判は自由な意見交換を促す一方で、不必要なトラブルや誤解を招く可能性があります。
運転中の急なレーン変更,他の運転手に予期せぬ危険を与える可能性がありますが、緊急時には避けられないこともあります。
公共の場でのイヤホン未使用での動画視聴,周囲への配慮が欠ける行為ですが、人がほとんどいない場合には問題視されないことも。
他人の会話への無断での割り込み,情報の提供や緊急の場合には許容されることもありますが、基本的には礼儀に反します。
オフィスでの遅刻,事前に連絡を入れていれば理解される場合もありますが、頻繁な遅刻はプロフェッショナリズムを損ないます。
会議中の非参加者へのメッセージ送信,緊急の連絡であれば許容されることもありますが、会議の進行を妨げる行為と見なされがちです。
レストランでの注文後の変更やキャンセル,事情によっては必要な場合もありますが、スタッフの手間を考えると極力避けるべきです。
個人的な事情での授業や仕事の欠席,事前に正当な理由で報告していれば理解されることもありますが、頻繁な欠席は信頼を損ねる原因になります。
カフェやレストランでの長居,忙しい時間帯に長時間席を占有することは、経営側や他の客に迷惑をかける可能性があります。
公共の場での足を組む,一部の文化では非礼とされることもありますが、カジュアルな環境では許容されることも。
スポーツジムでの器具の独占,忙しい時間帯に一つの器具を長時間使用することは他の利用者の迷惑になりますが、空いている時間なら問題ないことも。
飛行機内でのシートバックの急な倒し方,急にシートを倒すことは後ろの人に不快感を与える可能性がありますが、食事時以外では許容されることが多いです。
ホテルのバスローブやスリッパの持ち帰り,一部のホテルでは持ち帰りを許可していますが、事前に確認しなければ盗みと見なされることも。
オンライン会議中の背景ノイズ,家での会議では避けられない場合もありますが、ミュート機能の使用を心がけるべきです。
公共の場での大声での笑い,集団での楽しみは感染力がありますが、静かな環境では他者への配慮が求められます。
バスや電車での座席への足の乗せ方,空いている公共交通機関では問題ないこともありますが、混雑している時は避けるべき行動です。
直接的な否定の表現の使用,日本では間接的な表現が好まれるため、直接的な否定は場合によっては相手を不快にさせる可能性があります。
名刺の不適切な扱い,名刺交換はビジネスの場で重要な儀礼ですが、不注意な扱いは失礼とみなされます。ただし、非公式な場では緩和されることも。
公共の場での大声,日本では公共の場での静かな振る舞いが重んじられますが、友人同士などではある程度許容されることもあります。
食事中の箸の使い方,正しい箸の使い方はマナーとして重要視されますが、外国人観光客などには多少の理解が示されることも。
待ち行列での場所取り,長時間の待ち行列では場所取りが許容されることもありますが、基本的には避けるべき行動です。
贈り物の際の包装やマナー,日本では贈り物の際の包装や挨拶が重要ですが、親しい間柄では形式にとらわれないことも。
公共の場での化粧直し,女性が公共の場で化粧直しをすることは控えめに行われるべきですが、化粧室内では一般的です。
着席時の足の組み方,正座や椅子に座る際の足の組み方にはマナーがありますが、カジュアルな場所ではルールが緩和されることがあります。
エレベーターでの先に乗る・降りる,通常は先に乗っている人が先に降りますが、混雑時などではこのルールが適用されないことも。
靴を脱ぐ文化の理解,室内で靴を脱ぐのは日本の文化ですが、特定の外国人向けの施設などではフレキシブルな対応が見られることもあります。
電車内での座席占有,荷物を隣の席に置き、他の乗客が座れないようにする行為は、公共の場での礼儀に反します。
歩きスマホ,歩きながらスマートフォンを操作することは、周囲への注意散漫や事故の原因となり、非常に危険です。
ゴミのポイ捨て,公共の場所でのゴミのポイ捨ては環境汚染の原因となり、社会的に厳しく非難されます。
食事中の音を立てる,日本では、食事中に音を立てる（ずるずると麺をすすることを除く）ことは不快とされる場合が多いです。
非常にカジュアルな服装でのフォーマルな場所への訪問,フォーマルな場所や式典にカジュアルすぎる服装で訪れることは、場の雰囲気や礼儀を乱す行為と見なされます。
大声での会話,静かな場所や公共の場での大声での会話は、他人の迷惑になるため避けるべきです。
列に割り込む,待ち行列に割り込む行為は、公共のマナー違反とされ、他人からの強い不快感を買います。
他人に対する無礼な態度,目上の人や初対面の人に対する無礼な態度は、社会的信用を失う原因となります。
公共施設での大きな声での笑いや騒ぎ,図書館や美術館などの静かな公共施設での騒がしい振る舞いは不適切とされます。
飲食店での食べ残し,多くの食べ残しは食に対する敬意を欠く行為とみなされ、特に日本では避けるべきです。
相手の目を見ずに会話する,日本では直接目を見て会話することが礼儀とされていますが、過度に見つめることは避けるべきです。
手紙やメールでの敬語の誤用,正しい敬語の使用は、特にビジネスの場では非常に重要で、誤用は不適切とされます。
公共の場での化粧,公共の場での化粧はプライベートな行為とされ、特に電車内などでは控えるべきとされます。
お辞儀をしない,挨拶時のお辞儀は日本の文化であり、特にフォーマルな場ではお辞儀を怠ることは不適切とされます。
エスカレーターで左側を歩かない,特に東京ではエスカレーターの左側を空けて歩行者が通れるようにするのが慣習です。
お箸のマナー違反,お箸を立てて食べ物に突き刺す行為や、直接食べ物を渡す行為は避けるべきです。
ご飯を残す,食事を残すことは食べ物に感謝する日本の文化に反し、特に年配の方との食事では避けるべきです。
靴を脱がずに室内に入る,室内で靴を脱ぐのは日本の習慣です。玄関で靴を脱がないのは非常に不適切とされます。
公共の場での喫煙,日本では多くの公共の場所で喫煙が禁止されており、喫煙所以外での喫煙は避けるべきです。
バスや電車内での優先席の占有,優先席は高齢者や妊娠中の女性、障害を持つ方のためのもので、必要ない人が占有するのは不適切です。
他人の家での大声,日本の家庭では静かな環境を好むため、他人の家での大声は避けるべきです。
飲食店での席を足で蹴る,飲食店での席やテーブルを足で蹴るなどの行為は、他の客への配慮に欠ける行動です。
公衆浴場でのマナー違反,公衆浴場や温泉では、体を洗う前に浴槽に入るなどのマナー違反は他の利用者に不快感を与えます。
交差点での信号無視,歩行者や自転車による信号無視は交通の安全を脅かし、非常に不適切な行動とされます。
受話器を持たない電話応対,ビジネスシーンでのスピーカーフォンの使用は、周囲への配慮が欠けていると見なされることがあります。
寺院や神社での不敬な振る舞い,寺院や神社での大声や不適切な撮影は、その場所の尊厳を損ねる行為です。
エレベーター内での先降り,エレベーター内で入口に近い場所にいる人が先に降りるのは、一般的なマナー違反とされます。
会話中のスマートフォンの使用,他人との会話中にスマートフォンを使用することは、相手に対する尊敬がないと捉えられることがあります。
ゴミの分別をしない,日本ではゴミの分別が厳格に行われており、ルールを守らないことは地域社会に対する配慮に欠ける行為です。
公共交通機関での化粧,電車内など公共交通機関での化粧は、他の乗客への配慮を欠く行為と見なされます。
会食時の食事の取り分け方,直接手や自分の箸で食事を他人の皿に取り分けるのは不衛生と見なされ、不適切です。専用の取り分け用箸やスプーンを使用しましょう。
電話応対時のあいさつの怠り,ビジネスでもプライベートでも、電話に出る際や切る前の丁寧なあいさつは必須です。怠ると礼儀知らずと見なされます。
乗り物での前の席へのもたれかかり,バスや電車で前の席にもたれかかる行為は、他の乗客の迷惑になり得ます。特に混雑時は注意が必要です。
病院での大声や騒ぎ,病院内での大声や騒ぎは、他の患者さんへの配慮が欠けているとみなされ、非常に不適切です。
挨拶の無視,日本では挨拶がコミュニケーションの基本とされており、挨拶を無視することは非常に失礼な行為とされています。
待ち合わせ時の無断の遅刻,時間にルーズな行動は他人への配慮が欠けていると見なされ、特にビジネスシーンでは信頼を失う原因になります。
空港や駅での荷物の放置,セキュリティ上の理由から、空港や駅などの公共の場での荷物の放置は厳しく禁止されています。
接客業への無礼な態度,接客業に従事する人への無礼な態度は、日本のサービス業の精神に反し、他の顧客からも不快に思われる行為です。
エスカレーターでの立ち止まり,特に大都市部では、エスカレーターで片側を空けて歩く人のために通路を確保するのが一般的です。立ち止まる場合はルールを守りましょう。
ホテルの備品の持ち帰り,アメニティなどの消耗品以外のホテルの備品を持ち帰る行為は、盗難と見なされることがあります。
お寺や神社での騒がしい行動,宗教的な場所での騒がしい行動や大声は、その場の雰囲気や尊厳を損ね、非常に不適切です。
自転車の歩道での無配慮な運転,歩行者が多い歩道での無配慮な自転車運転は、危険を及ぼし、非常識な行為とされます。
料理を残す,日本では食べ物に感謝する文化があるため、食事を残すことはマナー違反とされることが多いです。
病院や図書館での携帯電話使用,静かな場所での携帯電話の使用は、他人の迷惑になるため不適切とされます。
ホテルの共用スペースでの騒音,ホテルの廊下やロビーでの大声や騒ぎは、他の宿泊客の迷惑になります。
列車やバス内での足を席に乗せる,公共交通機関内での足を席に乗せる行為は、他の乗客への配慮に欠けるとされます。
喫煙所以外での喫煙,日本では公共の場所での喫煙は制限されており、指定された喫煙所以外での喫煙は避けるべきです。
ゴミの不適切な分別,日本ではゴミの分別が徹底されており、ルールに従わないと地域社会の迷惑になります。
早朝や夜間の騒音,住宅地での早朝や夜間の大きな騒音は、近隣住民への配慮を欠く行為とされます。
図書館内での飲食,図書館では静かな環境が求められるため、飲食は特に注意が必要な行為です。
お店の商品を無断で写真撮影する,特に個人経営のお店や伝統工芸品の店舗では、商品の写真撮影が好ましくないとされる場合があります。
自転車の歩道での無配慮な運転,歩行者のいる歩道でのスピード出し過ぎや、ベルを鳴らさずに追い越す行為は、危険かつ不適切です。
お寺や神社での大声での会話や笑い,神聖な場所での軽率な振る舞いは、他の参拝者の迷惑になるだけでなく、場所の尊厳を損ねます。
マナーを守らないペットの散歩,ペットのフンの後始末をしない、リードをつけないで散歩させるなどの行為は、公共の場でのマナー違反です。
電車やバスでの化粧,移動中の公共交通機関内での化粧は、周りの乗客に不快感を与える可能性があります。
エスカレーターでの立ち止まり,特に大都市部ではエスカレーターの片側を空けておく習慣があり、空けていない側に立ち止まるのは流れを妨げます。
取引先や他社との会議での遅刻,日本のビジネスシーンでは時間厳守が基本であり、遅刻は非常に不適切とされることが多いです。
ご飯やお酒を断らずに過剰に摂取する,社交的な場での断り方を知らないと、健康やマナーを害することにつながることがあります。
無断で他人の写真を撮る,人混みの中や観光地で無断で他人の写真を撮ることは、プライバシーの侵害に当たります。
公共施設や列車内での足を広げて座る,マナースプレッドとも呼ばれるこの行為は、限られたスペースを占有し、他の人に不快感を与えます。
電車内での座席への足の乗せ,電車内で座席に足を乗せる行為は、共有スペースへの配慮を欠くと見なされます。
会話中の携帯電話使用,他人と会話している最中に携帯電話をいじる行為は、相手への敬意を欠くとされています。
公共の場での声の大きな通話,電車内やレストランなどでの大声での通話は、周囲の迷惑となるため不適切です。
ゴミの不適切な分別,日本ではゴミの分別が厳格に行われており、ルールを守らないと地域社会への配慮を欠くことになります。
歩道での自転車の無配慮な運転,歩行者が多い歩道でのスピード違反や無配慮な運転は、危険を伴うため避けるべきです。
温泉や公衆浴場でのルール無視,洗い場でのシャワーの使い方や浴槽への入り方など、温泉や公衆浴場独特のマナーを守らない行為は不適切です。
食事中の携帯電話での写真撮影,一部の食事シーンでは許容されることもありますが、過度な撮影は他の客の迷惑となり得ます。
混雑した場所での立ち止まり,観光地や商業施設など混雑する場所で急に立ち止まると、人の流れを妨げるため不適切です。
ホテルの共用スペースでの騒音,ホテルのロビーや廊下などでの騒がしい振る舞いは、他の宿泊客への配慮を欠く行為です。
飲食店での予約無視,予約したにも関わらず、無断でキャンセルや大幅な遅刻をする行為は、店側への敬意を欠くとされます。
食事時に席を立つ,食事中に無断で席を立つ行為は、他の食事参加者への配慮を欠くと見なされます。
交通機関での化粧,公共交通機関内での化粧は周りの乗客に不快感を与え、また衛生上も好ましくないとされています。
エレベーターでの前方立ち,エレベーター内で入口付近に立ち続け、他の人の乗降を妨げる行動は不適切とされます。
ATMやチケット機での長時間占有,長時間ATMやチケット機を占有する行為は、後ろに並ぶ人への配慮を欠きます。
話し相手の口を遮る,会話中に相手の話を遮って自分の意見を言うことは、礼儀に反する行為とされています。
タクシーでの後部座席のドアを自分で開ける,日本のタクシーではドアが自動で開くため、自分でドアを開けると運転手を驚かせる可能性があります。
病院での大声,病院内での大声は、他の患者への配慮を欠く行為とされ、静かな環境が求められます。
信号待ちでの横断歩道上の立ち止まり,信号待ちで横断歩道上に立ち止まると、対向車の進行を妨げる可能性があります。
ゴルフ場での声の大きな会話や笑い声,ゴルフ場では静かにすることがマナーとされており、大声は他のプレイヤーの迷惑になります。
ビジネスシーンでの適切な敬語の使用を怠る,ビジネスの場では適切な敬語の使用が求められ、これを怠ると失礼と捉えられることがあります。
オフィスでの私物の過剰な展示,個人的な装飾や私物を職場のデスクに過剰に展示することは、プロフェッショナルな環境を損ねると見なされることがあります。
ホテルのバッフェでの食べ過ぎ,バッフェ形式の食事での過剰な食事は、無駄遣いや食べ物の価値を軽視していると見なされることがあります。
列車やバスの中での化粧の塗り直し,公共交通機関内での化粧は他の乗客に不快感を与えるため、避けるべき行動です。
スポーツジムでのマシンの占有,長時間にわたって同じ運動器具を独占する行為は、他の利用者の機会を奪うとされます。
無断で隣人の駐車スペースを使用する,駐車スペースを無断で使用することは、隣人とのトラブルの原因となり得ます。
電話に出ないでメッセージのみで対応する,特にビジネスの場面では、電話に出ずにメッセージのみで対応することは不適切とされることがあります。
言葉遣いにおけるタメ口,相手との関係性にもよりますが、親しき中にも礼儀ありで、敬語を使うべき場面でタメ口を使うのは不適切です。
お土産を配る際の差別,職場などでお土産を一部の人にしか配らない行為は、不公平感を生み出し、人間関係に亀裂を入れる可能性があります。
待合室での足の投げ出し,待合室などでの大きく足を投げ出して座る姿勢は、他の人への配慮に欠けると見なされます。
会議中の不注意な態度,会議中にスマートフォンをいじったり、他のことに注意を払う行為は、参加者への敬意を欠くとされます。
レジでの並び方無視,スーパーやコンビニなどでの列の順番を無視して割り込む行為は、他のお客様に対する配慮が欠けるとされます。
車内での弁当食べ,新幹線を除く一般車両内での弁当や飲食物の摂取は、他の乗客に不快感を与えるため避けるべきです。
自宅マンションの共用部分での騒音,深夜や早朝の時間帯に共用部分で騒ぐ行為は、他の住民への配慮に欠けます。
エレベーター内での優先順位無視,優先座席やエレベーターでの高齢者、妊娠中の方、障害を持つ方への配慮が欠けた行動です。
外出時の室内用スリッパの使用,訪問先で外出用の靴のまま室内に入る、または室内用スリッパを外に履いて出る行為は不適切です。
食事中の箸の不適切な使用,直箸（他人に渡す際に使った箸で直接食べ物を取る）や箸を立てる行為は、食事マナーに反します。
会話中の長時間の目配せ無視,会話中、相手の目を見ずにスマートフォン等に気を取られ続けることは、非礼とされます。
書籍や雑誌の立ち読み,店舗での長時間の立ち読みは、商品の扱いとして適切ではなく、他の顧客の迷惑になることも。
公共の場での爪切り,公共の場での爪切りは個人の衛生行為として、他人に不快感を与える行為とされます。
ゴルフ場などでの先行者へのプレッシャー,ゴルフ場でのプレイ中、先行するプレイヤーへ急かすような振る舞いは、マナー違反とされています。
